periodo,trimestre,entidad_federativa,sexo,poblacion_ocupada,poblacion_edad_trabajar,tasa_neta_ocupacion
2007,2,Morelos,Mujeres,291629.0,649578.0,44.89514731
2007,2,Nayarit,Hombres,266453.0,340577.0,78.23575873
2007,2,Nayarit,Mujeres,166243.0,376325.0,44.17538032
2007,2,Nuevo León,Hombres,1228126.0,1563970.0,78.52618656
2007,2,Nuevo León,Mujeres,704287.0,1592701.0,44.21966207
2007,2,Oaxaca,Hombres,863395.0,1093757.0,78.93846622
2007,2,Oaxaca,Mujeres,574985.0,1353420.0,42.48385571
2007,2,Puebla,Hombres,1340519.0,1669777.0,80.281319
2007,2,Puebla,Mujeres,918093.0,2062930.0,44.50432152
2007,2,Querétaro,Hombres,397038.0,525272.0,75.58712439
2007,2,Querétaro,Mujeres,261010.0,629716.0,41.44884361
2007,2,Quintana Roo,Hombres,357867.0,418996.0,85.41060058
2007,2,Quintana Roo,Mujeres,213307.0,410350.0,51.98172292
2007,2,San Luis Potosí,Hombres,600529.0,770598.0,77.93025676
2007,2,San Luis Potosí,Mujeres,346203.0,894336.0,38.71061883
2007,2,Sinaloa,Hombres,713777.0,916977.0,77.84022936
2007,2,Sinaloa,Mujeres,402640.0,979703.0,41.09816955
2007,2,Sonora,Hombres,601495.0,816055.0,73.70765451
2007,2,Sonora,Mujeres,362980.0,931699.0,38.95893416
2007,2,Tabasco,Hombres,524019.0,683189.0,76.70190826
2007,2,Tabasco,Mujeres,260218.0,766875.0,33.93225754
2007,2,Tamaulipas,Hombres,803672.0,1045303.0,76.88411877
2007,2,Tamaulipas,Mujeres,517152.0,1155524.0,44.75476061
2007,2,Tlaxcala,Hombres,265064.0,349779.0,75.78042135
2007,2,Tlaxcala,Mujeres,159654.0,401988.0,39.71611093
2007,2,Veracruz,Hombres,1876273.0,2399914.0,78.18084315
2007,2,Veracruz,Mujeres,1029003.0,2771606.0,37.12659736
2007,2,Yucatán,Hombres,499246.0,621314.0,80.35325134
2007,2,Yucatán,Mujeres,323808.0,685186.0,47.25840867
2007,2,Zacatecas,Hombres,340122.0,451705.0,75.29737329
2007,2,Zacatecas,Mujeres,197607.0,530958.0,37.21706802
2007,3,Nacional,Hombres,27108767.0,35004467.0,77.44373597
2007,3,Nacional,Mujeres,16201729.0,40217844.0,40.28492676
2007,3,Aguascalientes,Hombres,263470.0,348009.0,75.70781215
2007,3,Aguascalientes,Mujeres,158833.0,403341.0,39.37933411
2007,3,Baja California,Hombres,775451.0,1027865.0,75.44288404
2007,3,Baja California,Mujeres,453395.0,1100479.0,41.19978664
2007,3,Baja California Sur,Hombres,167809.0,205805.0,81.53786351
2007,3,Baja California Sur,Mujeres,91353.0,202680.0,45.07252812
2007,3,Campeche,Hombres,212699.0,260186.0,81.74882584
2007,3,Campeche,Mujeres,107823.0,282651.0,38.14704353
2007,3,Coahuila,Hombres,683970.0,894031.0,76.50405858
2007,3,Coahuila,Mujeres,359839.0,961998.0,37.40537922
2007,3,Colima,Hombres,167154.0,212862.0,78.52693294
2007,3,Colima,Mujeres,108775.0,235337.0,46.22095123
2007,3,Chiapas,Hombres,1127760.0,1346332.0,83.76537139
2007,3,Chiapas,Mujeres,455494.0,1537387.0,29.62780354
2007,3,Chihuahua,Hombres,899557.0,1154323.0,77.92940104
2007,3,Chihuahua,Mujeres,445000.0,1196210.0,37.20082594
2007,3,Ciudad de México,Hombres,2259530.0,3075001.0,73.48062651
2007,3,Ciudad de México,Mujeres,1664706.0,3654436.0,45.55302104
2007,3,Durango,Hombres,399168.0,520258.0,76.72500951
2007,3,Durango,Mujeres,191636.0,569796.0,33.63238773
2007,3,Guanajuato,Hombres,1223800.0,1575726.0,77.66578707
2007,3,Guanajuato,Mujeres,736844.0,1953742.0,37.71449864
2007,3,Guerrero,Hombres,763633.0,955860.0,79.88962819
2007,3,Guerrero,Mujeres,516003.0,1151741.0,44.80199976
2007,3,Hidalgo,Hombres,579246.0,759082.0,76.30875189
2007,3,Hidalgo,Mujeres,375987.0,971705.0,38.69353353
2007,3,Jalisco,Hombres,1849508.0,2289068.0,80.79742498
2007,3,Jalisco,Mujeres,1173632.0,2607712.0,45.006197
2007,3,México,Hombres,3617760.0,4780804.0,75.67262745
2007,3,México,Mujeres,2023363.0,5422055.0,37.31727177
2007,3,Michoacán,Hombres,991884.0,1261172.0,78.64779745
2007,3,Michoacán,Mujeres,614813.0,1575338.0,39.02737063
2007,3,Morelos,Hombres,426206.0,555539.0,76.71936624
2007,3,Morelos,Mujeres,279566.0,648043.0,43.14003855
2007,3,Nayarit,Hombres,265696.0,342816.0,77.50396714
2007,3,Nayarit,Mujeres,162349.0,377756.0,42.9772128
2007,3,Nuevo León,Hombres,1226101.0,1575937.0,77.80139688
2007,3,Nuevo León,Mujeres,699075.0,1599082.0,43.71727028
2007,3,Oaxaca,Hombres,862647.0,1100479.0,78.38832
2007,3,Oaxaca,Mujeres,586263.0,1354698.0,43.27628741
2007,3,Puebla,Hombres,1315257.0,1660265.0,79.21970288
2007,3,Puebla,Mujeres,931453.0,2108251.0,44.18131427
2007,3,Querétaro,Hombres,406149.0,537579.0,75.55150034
2007,3,Querétaro,Mujeres,262439.0,638078.0,41.12961111
2007,3,Quintana Roo,Hombres,354483.0,420995.0,84.20123754
2007,3,Quintana Roo,Mujeres,214900.0,416704.0,51.5713792
2007,3,San Luis Potosí,Hombres,625508.0,785383.0,79.64368977
2007,3,San Luis Potosí,Mujeres,376311.0,906605.0,41.50771284
2007,3,Sinaloa,Hombres,689663.0,918975.0,75.04698169
2007,3,Sinaloa,Mujeres,400983.0,995061.0,40.29732851
2007,3,Sonora,Hombres,617757.0,830919.0,74.34623591
2007,3,Sonora,Mujeres,379489.0,948876.0,39.99352919
2007,3,Tabasco,Hombres,529850.0,698609.0,75.84356915
2007,3,Tabasco,Mujeres,262524.0,793510.0,33.08389308
2007,3,Tamaulipas,Hombres,808643.0,1053427.0,76.76307898
2007,3,Tamaulipas,Mujeres,481544.0,1143683.0,42.10467411
2007,3,Tlaxcala,Hombres,269592.0,354223.0,76.10798847
2007,3,Tlaxcala,Mujeres,166351.0,406698.0,40.90283208
2007,3,Veracruz,Hombres,1868146.0,2430489.0,76.86296873
2007,3,Veracruz,Mujeres,1000100.0,2822090.0,35.43827447
2007,3,Yucatán,Hombres,494300.0,617532.0,80.04443494
2007,3,Yucatán,Mujeres,316423.0,701010.0,45.1381578
2007,3,Zacatecas,Hombres,366370.0,454916.0,80.53574726
2007,3,Zacatecas,Mujeres,204463.0,531091.0,38.49867537
2007,4,Nacional,Hombres,27591124.0,35293273.0,78.17672223
2007,4,Nacional,Mujeres,16854459.0,40348679.0,41.77202183
2007,4,Aguascalientes,Hombres,272369.0,355117.0,76.69838391
2007,4,Aguascalientes,Mujeres,161321.0,404095.0,39.9215531
2007,4,Baja California,Hombres,798605.0,1045511.0,76.3841796
2007,4,Baja California,Mujeres,490732.0,1097577.0,44.710485
2007,4,Baja California Sur,Hombres,169973.0,208040.0,81.70207652
2007,4,Baja California Sur,Mujeres,98386.0,206811.0,47.57290473
2007,4,Campeche,Hombres,216950.0,261270.0,83.03670532
2007,4,Campeche,Mujeres,114465.0,286556.0,39.94507182
2007,4,Coahuila,Hombres,714055.0,914693.0,78.06499011
