periodo,trimestre,entidad_federativa,sexo,poblacion_ocupada_asalariada,poblacion_ocupada,tasa_trabajo_asalariado
2006,2,Tabasco,Hombres,359287.0,528408.0,67.9942393
2006,2,Tabasco,Mujeres,137361.0,214864.0,63.92927619
2006,2,Tamaulipas,Hombres,514780.0,795974.0,64.6729667
2006,2,Tamaulipas,Mujeres,335495.0,469017.0,71.53152231
2006,2,Tlaxcala,Hombres,163087.0,268313.0,60.78236984
2006,2,Tlaxcala,Mujeres,87073.0,155946.0,55.83535326
2006,2,Veracruz,Hombres,1109864.0,1828056.0,60.71280092
2006,2,Veracruz,Mujeres,551595.0,911224.0,60.5334144
2006,2,Yucatán,Hombres,299942.0,498509.0,60.16782044
2006,2,Yucatán,Mujeres,167149.0,299984.0,55.71930503
2006,2,Zacatecas,Hombres,183327.0,340194.0,53.88895748
2006,2,Zacatecas,Mujeres,102773.0,178742.0,57.49795795
2006,3,Nacional,Hombres,15809986.0,26825115.0,58.93725339
2006,3,Nacional,Mujeres,9738946.0,15951332.0,61.05412388
2006,3,Aguascalientes,Hombres,182961.0,252886.0,72.34920083
2006,3,Aguascalientes,Mujeres,111395.0,153402.0,72.61639353
2006,3,Baja California,Hombres,493838.0,760215.0,64.96030728
2006,3,Baja California,Mujeres,333614.0,452858.0,73.66856719
2006,3,Baja California Sur,Hombres,109505.0,156187.0,70.11146894
2006,3,Baja California Sur,Mujeres,58929.0,77887.0,75.65960943
2006,3,Campeche,Hombres,120248.0,208168.0,57.76488221
2006,3,Campeche,Mujeres,67449.0,112311.0,60.05556001
2006,3,Coahuila,Hombres,477602.0,662520.0,72.08869166
2006,3,Coahuila,Mujeres,257031.0,357660.0,71.86462003
2006,3,Colima,Hombres,99487.0,166591.0,59.71931257
2006,3,Colima,Mujeres,65789.0,106069.0,62.02471976
2006,3,Chiapas,Hombres,451785.0,1125158.0,40.1530274
2006,3,Chiapas,Mujeres,192880.0,433916.0,44.45099973
2006,3,Chihuahua,Hombres,528234.0,861639.0,61.30572084
2006,3,Chihuahua,Mujeres,352638.0,479351.0,73.56571698
2006,3,Ciudad de México,Hombres,1465454.0,2284180.0,64.15667767
2006,3,Ciudad de México,Mujeres,1203744.0,1673658.0,71.92293766
2006,3,Durango,Hombres,214500.0,373530.0,57.42510642
2006,3,Durango,Mujeres,117542.0,178354.0,65.90376442
2006,3,Guanajuato,Hombres,661460.0,1204596.0,54.91135617
2006,3,Guanajuato,Mujeres,441782.0,751360.0,58.79764693
2006,3,Guerrero,Hombres,283990.0,733200.0,38.73295145
2006,3,Guerrero,Mujeres,202537.0,490011.0,41.33315375
2006,3,Hidalgo,Hombres,296926.0,607594.0,48.86914617
2006,3,Hidalgo,Mujeres,184951.0,338962.0,54.56393342
2006,3,Jalisco,Hombres,1056794.0,1761415.0,59.99687751
2006,3,Jalisco,Mujeres,689754.0,1106365.0,62.34416309
2006,3,México,Hombres,2368444.0,3622073.0,65.38918459
2006,3,México,Mujeres,1385170.0,2137104.0,64.81528274
2006,3,Michoacán,Hombres,474131.0,1002264.0,47.30599922
2006,3,Michoacán,Mujeres,281686.0,627754.0,44.87203586
2006,3,Morelos,Hombres,256407.0,426416.0,60.13071742
2006,3,Morelos,Mujeres,155015.0,262792.0,58.98771652
2006,3,Nayarit,Hombres,140133.0,264899.0,52.90053945
2006,3,Nayarit,Mujeres,83375.0,158748.0,52.52034671
2006,3,Nuevo León,Hombres,886669.0,1228436.0,72.178689
2006,3,Nuevo León,Mujeres,498905.0,685391.0,72.79129723
2006,3,Oaxaca,Hombres,313007.0,870734.0,35.94748798
2006,3,Oaxaca,Mujeres,196202.0,584795.0,33.55056045
2006,3,Puebla,Hombres,723586.0,1331016.0,54.36343365
2006,3,Puebla,Mujeres,436143.0,894825.0,48.74059174
