periodo,trimestre,entidad_federativa,sexo,poblacion_desocupada_abierta,poblacion_economicamente_activa,tasa_desocupacion
2005,1,Zacatecas,Hombres,10172.0,331887.0,3.064898595
2005,1,Zacatecas,Mujeres,4928.0,161319.0,3.054816854
2005,2,Nacional,Hombres,909637.0,26738081.0,3.402027991
2005,2,Nacional,Mujeres,556386.0,15480926.0,3.594009816
2005,2,Aguascalientes,Hombres,15417.0,257623.0,5.984325934
2005,2,Aguascalientes,Mujeres,6233.0,151707.0,4.108577719
2005,2,Baja California,Hombres,8821.0,741944.0,1.188903745
2005,2,Baja California,Mujeres,4991.0,403089.0,1.238188092
2005,2,Baja California Sur,Hombres,2906.0,146751.0,1.980225007
2005,2,Baja California Sur,Mujeres,2485.0,78360.0,3.171260847
2005,2,Campeche,Hombres,5041.0,213548.0,2.360593403
2005,2,Campeche,Mujeres,3986.0,116228.0,3.429466222
2005,2,Coahuila,Hombres,31181.0,656702.0,4.748120152
2005,2,Coahuila,Mujeres,15724.0,351452.0,4.474010676
2005,2,Colima,Hombres,4251.0,162318.0,2.618933205
2005,2,Colima,Mujeres,2669.0,105568.0,2.528228251
2005,2,Chiapas,Hombres,16879.0,1116405.0,1.511906521
2005,2,Chiapas,Mujeres,15685.0,482753.0,3.249073543
2005,2,Chihuahua,Hombres,15617.0,848906.0,1.839661871
2005,2,Chihuahua,Mujeres,11221.0,439324.0,2.554151378
2005,2,Ciudad de México,Hombres,128656.0,2333249.0,5.514027864
2005,2,Ciudad de México,Mujeres,87470.0,1673677.0,5.226217484
2005,2,Durango,Hombres,11991.0,381712.0,3.141373601
2005,2,Durango,Mujeres,7132.0,187693.0,3.79982205
2005,2,Guanajuato,Hombres,53465.0,1166035.0,4.585196842
2005,2,Guanajuato,Mujeres,22460.0,696101.0,3.226543275
2005,2,Guerrero,Hombres,9822.0,701580.0,1.399982896
2005,2,Guerrero,Mujeres,3139.0,404801.0,0.775442748
2005,2,Hidalgo,Hombres,21467.0,620924.0,3.457266912
2005,2,Hidalgo,Mujeres,11378.0,357112.0,3.18611528
2005,2,Jalisco,Hombres,50369.0,1776928.0,2.834611194
2005,2,Jalisco,Mujeres,34087.0,1108403.0,3.075325491
2005,2,México,Hombres,203047.0,3689009.0,5.50410693
2005,2,México,Mujeres,105309.0,2008194.0,5.243965473
2005,2,Michoacán,Hombres,24295.0,980747.0,2.477193405
2005,2,Michoacán,Mujeres,17652.0,635248.0,2.778757273
2005,2,Morelos,Hombres,10963.0,410837.0,2.668454886
2005,2,Morelos,Mujeres,7939.0,272104.0,2.917634434
2005,2,Nayarit,Hombres,4598.0,261136.0,1.760768335
2005,2,Nayarit,Mujeres,5298.0,162850.0,3.253300583
2005,2,Nuevo León,Hombres,48509.0,1204887.0,4.026020697
2005,2,Nuevo León,Mujeres,40380.0,675936.0,5.973938361
2005,2,Oaxaca,Hombres,13836.0,851809.0,1.624307797
2005,2,Oaxaca,Mujeres,7680.0,583183.0,1.316910815
2005,2,Puebla,Hombres,37163.0,1316592.0,2.822666399
2005,2,Puebla,Mujeres,22444.0,827865.0,2.711070042
2005,2,Querétaro,Hombres,15683.0,391882.0,4.001969981
2005,2,Querétaro,Mujeres,9177.0,250477.0,3.663809452
2005,2,Quintana Roo,Hombres,6490.0,313857.0,2.067820695
2005,2,Quintana Roo,Mujeres,5929.0,187493.0,3.162251391
2005,2,San Luis Potosí,Hombres,11524.0,597823.0,1.927660863
2005,2,San Luis Potosí,Mujeres,11667.0,346011.0,3.37185812
2005,2,Sinaloa,Hombres,22904.0,738942.0,3.099566678
2005,2,Sinaloa,Mujeres,15411.0,433362.0,3.556149362
2005,2,Sonora,Hombres,21860.0,640581.0,3.412527065
2005,2,Sonora,Mujeres,9364.0,352713.0,2.654849694
2005,2,Tabasco,Hombres,15724.0,538882.0,2.917892971
2005,2,Tabasco,Mujeres,6077.0,216890.0,2.801881138
2005,2,Tamaulipas,Hombres,27797.0,819043.0,3.393838907
2005,2,Tamaulipas,Mujeres,23589.0,471164.0,5.006537002
2005,2,Tlaxcala,Hombres,11638.0,270745.0,4.298509668
2005,2,Tlaxcala,Mujeres,6792.0,147611.0,4.601283102
2005,2,Veracruz,Hombres,39033.0,1755752.0,2.223149967
2005,2,Veracruz,Mujeres,21058.0,885718.0,2.377506159
2005,2,Yucatán,Hombres,10898.0,485745.0,2.24356401
2005,2,Yucatán,Mujeres,7749.0,300841.0,2.575779232
2005,2,Zacatecas,Hombres,7792.0,345187.0,2.257327188
2005,2,Zacatecas,Mujeres,4211.0,166998.0,2.521587085
2005,3,Nacional,Hombres,935739.0,27171531.0,3.443821403
2005,3,Nacional,Mujeres,686302.0,15875871.0,4.322925023
2005,3,Aguascalientes,Hombres,14585.0,259283.0,5.625127756
2005,3,Aguascalientes,Mujeres,7760.0,152684.0,5.082392392
2005,3,Baja California,Hombres,7373.0,751373.0,0.981270288
2005,3,Baja California,Mujeres,7512.0,412998.0,1.818895007
2005,3,Baja California Sur,Hombres,3366.0,149709.0,2.248361822
2005,3,Baja California Sur,Mujeres,2551.0,78022.0,3.269590628
2005,3,Campeche,Hombres,4638.0,212762.0,2.179900546
2005,3,Campeche,Mujeres,4197.0,117981.0,3.557352455
2005,3,Coahuila,Hombres,23734.0,647259.0,3.666847429
2005,3,Coahuila,Mujeres,18570.0,337401.0,5.503836681
2005,3,Colima,Hombres,5430.0,163640.0,3.318259594
2005,3,Colima,Mujeres,3407.0,106384.0,3.202549256
2005,3,Chiapas,Hombres,20485.0,1129196.0,1.814122615
2005,3,Chiapas,Mujeres,17641.0,491732.0,3.587523285
2005,3,Chihuahua,Hombres,14777.0,862193.0,1.713885406
2005,3,Chihuahua,Mujeres,16745.0,461716.0,3.626688267
2005,3,Ciudad de México,Hombres,135745.0,2347552.0,5.782406524
2005,3,Ciudad de México,Mujeres,118523.0,1685244.0,7.032987508
2005,3,Durango,Hombres,12560.0,390671.0,3.214981404
2005,3,Durango,Mujeres,6434.0,186696.0,3.446244162
2005,3,Guanajuato,Hombres,48314.0,1206966.0,4.00292966
2005,3,Guanajuato,Mujeres,26607.0,727451.0,3.657565939
2005,3,Guerrero,Hombres,9175.0,764711.0,1.199799663
2005,3,Guerrero,Mujeres,3055.0,455754.0,0.670317759
2005,3,Hidalgo,Hombres,12894.0,614099.0,2.099661455
2005,3,Hidalgo,Mujeres,11016.0,397229.0,2.773211422
2005,3,Jalisco,Hombres,79222.0,1835367.0,4.316411922
2005,3,Jalisco,Mujeres,47597.0,1162623.0,4.093932427
2005,3,México,Hombres,166326.0,3697385.0,4.498476626
2005,3,México,Mujeres,122650.0,2094805.0,5.854960247
2005,3,Michoacán,Hombres,28822.0,1007491.0,2.860769972
2005,3,Michoacán,Mujeres,26903.0,657968.0,4.088800671
2005,3,Morelos,Hombres,10674.0,423337.0,2.521395484
2005,3,Morelos,Mujeres,6549.0,270277.0,2.423069666
2005,3,Nayarit,Hombres,5633.0,257201.0,2.190115902
2005,3,Nayarit,Mujeres,5472.0,160004.0,3.419914502
2005,3,Nuevo León,Hombres,60380.0,1225886.0,4.925417208
2005,3,Nuevo León,Mujeres,53560.0,698827.0,7.664271701
2005,3,Oaxaca,Hombres,19757.0,898734.0,2.198314518
2005,3,Oaxaca,Mujeres,10593.0,574242.0,1.844692656
2005,3,Puebla,Hombres,41364.0,1349263.0,3.065673631
2005,3,Puebla,Mujeres,32269.0,874775.0,3.688834272
2005,3,Querétaro,Hombres,17911.0,401719.0,4.458589213
2005,3,Querétaro,Mujeres,10910.0,256955.0,4.245879629
2005,3,Quintana Roo,Hombres,6263.0,325539.0,1.923886232
2005,3,Quintana Roo,Mujeres,7026.0,188813.0,3.721142082
2005,3,San Luis Potosí,Hombres,13186.0,599620.0,2.199059404
2005,3,San Luis Potosí,Mujeres,12627.0,346900.0,3.639953877
2005,3,Sinaloa,Hombres,26395.0,717609.0,3.678186868
2005,3,Sinaloa,Mujeres,14541.0,394862.0,3.682552385
2005,3,Sonora,Hombres,24558.0,625581.0,3.925630734
2005,3,Sonora,Mujeres,15859.0,347731.0,4.560709284
2005,3,Tabasco,Hombres,19076.0,548105.0,3.480355041
2005,3,Tabasco,Mujeres,9919.0,232285.0,4.270185333
2005,3,Tamaulipas,Hombres,37294.0,812614.0,4.589386843
2005,3,Tamaulipas,Mujeres,23438.0,455105.0,5.150020325
2005,3,Tlaxcala,Hombres,12188.0,276581.0,4.406665678
2005,3,Tlaxcala,Mujeres,9318.0,162438.0,5.736342481
2005,3,Veracruz,Hombres,31067.0,1819462.0,1.707482761
2005,3,Veracruz,Mujeres,15911.0,899849.0,1.768185551
2005,3,Yucatán,Hombres,11919.0,496166.0,2.402220225
2005,3,Yucatán,Mujeres,9509.0,304891.0,3.118819513
2005,3,Zacatecas,Hombres,10628.0,354457.0,2.998389085
2005,3,Zacatecas,Mujeres,7633.0,181229.0,4.211798332
2005,4,Nacional,Hombres,805700.0,27268601.0,2.954680367
2005,4,Nacional,Mujeres,542586.0,16045683.0,3.381507662
2005,4,Aguascalientes,Hombres,13335.0,264673.0,5.038292535
2005,4,Aguascalientes,Mujeres,4123.0,155039.0,2.659330878
2005,4,Baja California,Hombres,11612.0,758193.0,1.531536166
2005,4,Baja California,Mujeres,7295.0,435285.0,1.675913482
2005,4,Baja California Sur,Hombres,2089.0,151651.0,1.377504929
2005,4,Baja California Sur,Mujeres,2057.0,84308.0,2.439863358
2005,4,Campeche,Hombres,3682.0,211500.0,1.740898345
2005,4,Campeche,Mujeres,2296.0,115965.0,1.979907731
2005,4,Coahuila,Hombres,25898.0,653410.0,3.963514486
2005,4,Coahuila,Mujeres,14588.0,353721.0,4.124154348
2005,4,Colima,Hombres,4940.0,163477.0,3.021831817
2005,4,Colima,Mujeres,3841.0,111224.0,3.453391354
2005,4,Chiapas,Hombres,14319.0,1108599.0,1.291630247
2005,4,Chiapas,Mujeres,11949.0,463164.0,2.57986372
2005,4,Chihuahua,Hombres,18100.0,883359.0,2.048997067
2005,4,Chihuahua,Mujeres,11442.0,456233.0,2.507929063
2005,4,Ciudad de México,Hombres,108281.0,2358646.0,4.590811847
2005,4,Ciudad de México,Mujeres,93374.0,1756850.0,5.314853289
2005,4,Durango,Hombres,11511.0,391314.0,2.94162744
2005,4,Durango,Mujeres,5248.0,184426.0,2.845585763
2005,4,Guanajuato,Hombres,34485.0,1219543.0,2.827698572
2005,4,Guanajuato,Mujeres,19419.0,753082.0,2.578603658
2005,4,Guerrero,Hombres,6693.0,754451.0,0.887135149
2005,4,Guerrero,Mujeres,1948.0,437280.0,0.445481156
2005,4,Hidalgo,Hombres,21469.0,604925.0,3.549035004
2005,4,Hidalgo,Mujeres,12257.0,377431.0,3.247480997
2005,4,Jalisco,Hombres,57167.0,1812475.0,3.154084884
2005,4,Jalisco,Mujeres,42122.0,1157025.0,3.640543636
2005,4,México,Hombres,160621.0,3733143.0,4.302567568
2005,4,México,Mujeres,85254.0,2077229.0,4.104217686
2005,4,Michoacán,Hombres,28879.0,1009139.0,2.861746499
2005,4,Michoacán,Mujeres,17459.0,669544.0,2.607595617
2005,4,Morelos,Hombres,10563.0,429696.0,2.458249553
2005,4,Morelos,Mujeres,6043.0,268064.0,2.254312403
2005,4,Nayarit,Hombres,5072.0,271463.0,1.868394588
2005,4,Nayarit,Mujeres,3615.0,162361.0,2.226519915
2005,4,Nuevo León,Hombres,40884.0,1230847.0,3.321615115
2005,4,Nuevo León,Mujeres,45247.0,697222.0,6.48961163
2005,4,Oaxaca,Hombres,14413.0,875110.0,1.646992949
2005,4,Oaxaca,Mujeres,6260.0,567247.0,1.103575691
2005,4,Puebla,Hombres,38871.0,1339183.0,2.902590609
2005,4,Puebla,Mujeres,26478.0,862387.0,3.070315299
2005,4,Querétaro,Hombres,16323.0,416036.0,3.923458547
2005,4,Querétaro,Mujeres,8054.0,261887.0,3.075372203
2005,4,Quintana Roo,Hombres,8823.0,332066.0,2.657001921
2005,4,Quintana Roo,Mujeres,4725.0,178676.0,2.644451409
2005,4,San Luis Potosí,Hombres,12091.0,600262.0,2.014287095
2005,4,San Luis Potosí,Mujeres,8853.0,351228.0,2.520584919
2005,4,Sinaloa,Hombres,16022.0,736381.0,2.175775855
2005,4,Sinaloa,Mujeres,18033.0,434158.0,4.153557
2005,4,Sonora,Hombres,18415.0,644287.0,2.858198287
2005,4,Sonora,Mujeres,9132.0,344992.0,2.647017902
